coid,year,Bias
1101,2025,-11.709524335062362
1102,2025,-5.150191611911299
1103,2025,-3.418767914260792
1104,2025,5.051212466077208
1108,2025,3.89736747004697
1109,2025,-3.3906756419845454
1110,2025,-9.16276057389376
1201,2025,-8.75511880647932
1203,2025,3.4017215411148576
1210,2025,-6.655687859554406
1213,2025,-17.15678960965535
1215,2025,12.978623413466542
1216,2025,-0.6371593826358589
1217,2025,-7.008703618873099
1218,2025,-4.186320754716988
1219,2025,-4.471039454526085
1220,2025,-9.572265922907633
1225,2025,-15.101758734092757
1227,2025,-6.14618198317469
1229,2025,3.6783463794343976
1231,2025,-19.827234261371437
1232,2025,-1.687772612322579
1233,2025,3.9935465686989184
1234,2025,-2.009071896975432
1235,2025,-26.08648779324471
1236,2025,12.221815568186324
1240,2025,10.831402602031726
1256,2025,13.17303661928895
1259,2025,4.485835617911091
1264,2025,-5.918494055349947
1268,2025,7.360848224742936
1294,2025,3.655977911279417
1295,2025,-27.372065849326965
1301,2025,4.374914693579343
1303,2025,62.564742353786265
1304,2025,5.114631767346271
1305,2025,-3.98863646327456
1307,2025,-7.5965373018188895
1308,2025,3.279010406440216
1309,2025,-5.179818183364371
1310,2025,-2.2387977358240896
1312,2025,11.68670690556532
1313,2025,8.007690147538511
1314,2025,4.491662183969871
1315,2025,-3.4956203653013573
1316,2025,3.314156065148692
1319,2025,-8.582070210854981
1321,2025,-1.4691330685287205
1323,2025,-5.781024443647851
1324,2025,-8.623947622891913
1325,2025,-0.3384167950565226
1326,2025,16.127631864553944
1336,2025,-16.305555121004957
1337,2025,-14.866446738320748
1338,2025,-13.346709909182298
1339,2025,-7.232877175484126
1340,2025,1.522842639593916
1341,2025,-5.555932840476396
1342,2025,-7.895925259338725
1402,2025,-5.700058343848791
1409,2025,9.86837768353513
1410,2025,-1.9997199991999963
1413,2025,-10.70232620440237
1414,2025,-10.735468564650064
1416,2025,1.5017157612203995
1417,2025,5.404324400630549
1418,2025,-12.426213018273572
1419,2025,25.124701983395603
1423,2025,3.139635827280572
1432,2025,1.681505666306371
1434,2025,-2.108665537940584
1435,2025,-30.707233270746325
1436,2025,-17.94469801373067
1437,2025,7.372174105100418
1438,2025,-19.376124775044985
1439,2025,-0.212923594470663
1440,2025,-0.9738197200361732
1441,2025,-14.522889783841531
1442,2025,-49.7492564420433
1443,2025,-8.091955263548428
1444,2025,-15.385264104798594
1445,2025,-15.903369221704429
1446,2025,-26.267058297373406
1447,2025,-12.737144888659058
1449,2025,-16.92984688150155
1451,2025,-10.971643625526168
1452,2025,-7.001408829721563
1453,2025,-9.29079918434287
1454,2025,-9.756030095153797
1455,2025,-14.854306257373729
1456,2025,-2.222222222222228
1457,2025,-14.740715189145671
1459,2025,5.168922148922666
1460,2025,-2.53887751672726
1463,2025,-7.0529522587886255
1464,2025,-14.742917103882474
1465,2025,-4.94224290679017
1466,2025,-6.308969266702741
1467,2025,-15.653243742014864
1468,2025,-9.402509550485451
1470,2025,4.664934492604602
1471,2025,-16.88990278579745
1472,2025,0.401491874895178
1473,2025,-12.780474080326371
1474,2025,-12.460956764754233
1475,2025,-29.750657446186807
1476,2025,-10.339896903706675
1477,2025,-2.582178489043681
1503,2025,-1.9597665950396272
1504,2025,28.028093021554437
1506,2025,-5.165817364830756
1512,2025,-1.8725125595354657
