coid,year_q,K_avg,D_avg,K_minus_D_avg
1101,2020Q1,54.65790375183003,55.10486064044559,-0.44695688861555993
1101,2020Q2,65.90852112105155,67.24439999515901,-1.3358788741074648
1101,2020Q3,57.053372408634175,57.00935765648535,0.044014752148825664
1101,2020Q4,49.782291096447516,49.30965883933192,0.472632257115599
1101,2021Q1,48.05170402541786,47.31158431673252,0.7401197086853415
1101,2021Q2,56.12637563808748,57.29353103289895,-1.1671553948114664
1101,2021Q3,58.883636721533364,58.075649312406384,0.8079874091269801
1101,2021Q4,43.102973474185106,42.90282909737288,0.20014437681222574
1101,2022Q1,63.97525680948752,63.82140079010323,0.1538560193842855
1101,2022Q2,24.594730047330508,26.408228361652856,-1.8134983143223486
1101,2022Q3,60.02103243732568,60.755789459356606,-0.7347570220309265
1101,2022Q4,45.77982767545045,45.492916900050645,0.2869107753998037
1101,2023Q1,55.608184114912994,55.33769996896895,0.2704841459440459
1101,2023Q2,50.50271698847842,50.590462183017884,-0.08774519453946539
1101,2023Q3,31.665819745015664,32.09149357584398,-0.42567383082831256
1101,2023Q4,51.39968480048564,50.36844889077336,1.0312359097122794
1101,2024Q1,31.124137115493422,32.203841331276934,-1.0797042157835115
1101,2024Q2,54.469975437417766,53.777757392741684,0.692218044676082
1101,2024Q3,52.34311698802288,52.013176391279025,0.3299405967438531
1101,2024Q4,43.488440117243805,44.49397078613726,-1.0055306688934564
1101,2025Q1,50.58046900671291,50.819810286621845,-0.23934127990893472
1101,2025Q2,33.76574500953043,33.127603385483354,0.6381416240470728
1101,2025Q3,42.608718604841975,41.75203996444727,0.8566786403947049
1101,2025Q4,38.50214414105667,38.58337017764498,-0.08122603658831196
1102,2020Q1,44.8734873169296,44.94045856685711,-0.06697124992751213
1102,2020Q2,61.26361343133487,62.308577649926505,-1.0449642185916375
1102,2020Q3,53.715516954331854,53.36958982243915,0.34592713189270086
1102,2020Q4,48.939275081023,48.349879458639734,0.5893956223832646
1102,2021Q1,56.996158551674,56.82377241827922,0.17238613339478093
1102,2021Q2,49.42894579725948,50.71071551310873,-1.2817697158492507
1102,2021Q3,50.526317582197876,49.44573214567519,1.0805854365226892
1102,2021Q4,49.39637039825653,49.413739885546,-0.017369487289471408
1102,2022Q1,77.80683652731948,77.22336057364532,0.583475953674153
1102,2022Q2,40.66347495951302,41.515155393286165,-0.8516804337731472
1102,2022Q3,67.41582690572325,68.80562256467324,-1.3897956589499927
1102,2022Q4,55.132485009750454,54.541227485667704,0.5912575240827493
1102,2023Q1,58.422003719709274,57.7632498113321,0.6587539083771716
1102,2023Q2,60.608673043342336,61.27295587663137,-0.664282833289036
1102,2023Q3,50.58333082433965,51.13929218442992,-0.5559613600902722
1102,2023Q4,56.28504189510308,55.77248497611641,0.5125569189866681
1102,2024Q1,55.507619012884234,55.62904556182532,-0.12142654894108773
1102,2024Q2,58.086340854096505,57.7942309476003,0.2921099064962078
1102,2024Q3,71.63377131814227,71.26633431443747,0.3674370037047936
1102,2024Q4,40.39199802901499,41.49076347441467,-1.0987654453996782
1102,2025Q1,64.75704124449945,62.054208038385084,2.702833206114363
1102,2025Q2,46.87739053366703,48.13745979646515,-1.260069262798119
1102,2025Q3,39.81352007848346,39.197521842208424,0.6159982362750327
1102,2025Q4,48.28400304544789,49.67500923541113,-1.3910061899632424
