coid,year_q,Bias
1101,2025Q4,3.5751276831315355
1102,2025Q4,-0.0671591672263225
1103,2025Q4,2.787417935851805
1104,2025Q4,-2.889050740470983
1108,2025Q4,-0.1449401203604196
1109,2025Q4,-0.4444672815558947
1110,2025Q4,-0.3960086183030574
1201,2025Q4,-2.6918575489048644
1203,2025Q4,0.2458861358047956
1210,2025Q4,-2.209414024975982
1213,2025Q4,-2.3310929659871444
1215,2025Q4,-5.088415734391924
1216,2025Q4,0.2297093338429276
1217,2025Q4,-2.1997822379387677
1218,2025Q4,-1.091256901873837
1219,2025Q4,-1.302513300311871
1220,2025Q4,-2.244067903076368
1225,2025Q4,-5.795400832305895
1227,2025Q4,-2.703677929843558
1229,2025Q4,-0.9529760974847746
1231,2025Q4,-5.942850644763692
1232,2025Q4,-0.3505316592222592
1233,2025Q4,2.4766793724979417
1234,2025Q4,0.8559485103841762
1235,2025Q4,-7.788555591783506
1236,2025Q4,0.1180173092053405
1240,2025Q4,2.8453890983887646
1256,2025Q4,2.626974100683623
1259,2025Q4,0.9686169409755738
1264,2025Q4,-2.736250027161411
1268,2025Q4,0.3828393805340456
1294,2025Q4,2.655360681173023
1295,2025Q4,-17.96720100659189
1301,2025Q4,-2.053117347899799
1303,2025Q4,16.898878586339144
1304,2025Q4,1.8600937846989636
1305,2025Q4,-2.4863748085349022
1307,2025Q4,0.1991574584778401
1308,2025Q4,0.8110884531055974
1309,2025Q4,-0.3574620196604035
1310,2025Q4,1.3150371640937706
1312,2025Q4,8.61727892917229
1313,2025Q4,-3.526120302927989
1314,2025Q4,-2.070756084342674
1315,2025Q4,-3.845706838654496
1316,2025Q4,0.0
1319,2025Q4,1.5494137353433877
1321,2025Q4,-1.5521983408114497
1323,2025Q4,-0.9003041774725263
1324,2025Q4,-4.348875867128509
1325,2025Q4,-3.298817953163692
1326,2025Q4,2.1993556028170187
1336,2025Q4,-1.920044976228594
1337,2025Q4,-3.5699218514574955
1338,2025Q4,-1.4155954785172131
1339,2025Q4,-0.5475548064528588
1340,2025Q4,5.567708700867981
1341,2025Q4,2.0159233549932347
1342,2025Q4,-1.9675655904044895
1402,2025Q4,0.2976458915847373
1409,2025Q4,2.255065034221362
1410,2025Q4,-0.3364733639781732
1413,2025Q4,-1.731491126353646
1414,2025Q4,-1.0866231433203513
1416,2025Q4,3.262043637934755
1417,2025Q4,4.129138726509948
1418,2025Q4,-1.5460005852680991
1419,2025Q4,3.6926090212569687
1423,2025Q4,-1.3041394970938058
1432,2025Q4,2.8169014084507045
1434,2025Q4,1.6572042350774887
1435,2025Q4,-13.47687400318979
1436,2025Q4,1.8811114930998751
1437,2025Q4,5.467708843419356
1438,2025Q4,-3.5845873075996058
1439,2025Q4,6.801734545896168
1440,2025Q4,-1.560178306092131
1441,2025Q4,-3.74826469227209
1442,2025Q4,-11.425377004169448
1443,2025Q4,-1.044030866999551
1444,2025Q4,-3.622944783311723
1445,2025Q4,-10.70539891083336
1446,2025Q4,-0.2496484208919744
1447,2025Q4,-2.3031136359524536
1449,2025Q4,1.3828252013956015
1451,2025Q4,-5.156431054461185
1452,2025Q4,-0.8714872651497965
